api_name,service,http_method,endpoint,path_params,query_params,request_body,data_models,required_optional,response,http_status,authentication,error_format
Gateway health,api-gateway,GET,/health,—,—,—,—,—,"{ service: string, status: string }",200,None,"{ error: string }"
AI health,ai-service,GET,/api/v1/ai/health,—,—,—,—,—,"{ status, database }",200 | 503 | 500,None,"{ detail: string }"
AI create conversation,ai-service,POST,/api/v1/ai/conversations,—,—,"{ title?: string | null }",ConversationResponse,"title: optional; x-user-id: required","{ id, user_id, title, created_at, updated_at }",201 | 401 | 500 | 503,Header x-user-id: required (non-empty string),"{ detail: string | { code, message } } | { error: string }"
AI list conversations,ai-service,GET,/api/v1/ai/conversations,—,—,—,ConversationResponse[],x-user-id: required,"ConversationResponse[]",200 | 401 | 500 | 503,Header x-user-id: required (non-empty string),"{ detail: string | { code, message } } | { error: string }"
AI get conversation,ai-service,GET,/api/v1/ai/conversations/{conversation_id},conversation_id: uuid,—,—,"ConversationDetail { id, user_id, title, messages: MessageResponse[] }","conversation_id: required; x-user-id: required","{ id, user_id, title, messages }",200 | 401 | 404 | 500 | 503,Header x-user-id: required (non-empty string),"{ detail: string | { code, message } } | { error: string }"
AI delete conversation,ai-service,DELETE,/api/v1/ai/conversations/{conversation_id},conversation_id: uuid,—,—,—,"conversation_id: required; x-user-id: required",(empty),204 | 401 | 404 | 500 | 503,Header x-user-id: required (non-empty string),"{ detail: string | { code, message } } | { error: string }"
AI send message,ai-service,POST,/api/v1/ai/conversations/{conversation_id}/messages,conversation_id: uuid,—,"{ content: string }","MessageRequest; ChatResponse; MessageResponse","conversation_id: required; content: required (1–20000); x-user-id: required","{ user_message, assistant_message, provider, model, input_tokens?, output_tokens? }",201 | 401 | 404 | 500 | 503,Header x-user-id: required (non-empty string),"{ detail: string | { code, message } } | { error: string }"
AI list messages,ai-service,GET,/api/v1/ai/conversations/{conversation_id}/messages,conversation_id: uuid,"page?: int (default 1); limit?: int (default 20)",—,MessageResponse[],"conversation_id: required; page/limit: optional; x-user-id: required","MessageResponse[]",200 | 401 | 404 | 500 | 503,Header x-user-id: required (non-empty string),"{ detail: string | { code, message } } | { error: string }"
Analytics record review,analytics-service,POST,/api/v1/analytics/reviews,—,—,"{ userId, vocabularyId, correct, word?, translation?, reviewedAt? }",ReviewRequest; ReviewRecord; ReviewResponse,"userId/vocabularyId/correct: required; others optional","{ review, mastered }",201 | 400 | 503,None (userId in body),"{ error: string }"
Analytics due reviews,analytics-service,GET,/api/v1/analytics/reviews/due,—,"userId: string; limit?: int (default 20)",—,DueReviewsResponse { reviews: ReviewRecord[] count },"userId: required; limit: optional","{ reviews, count }",200 | 400 | 503,None (userId in query),"{ error: string }"
Analytics dashboard,analytics-service,GET,/api/v1/analytics/dashboard,—,"userId: string",—,DashboardResponse,userId: required,"{ totalWords, dueNow, learning, mastered, accuracy, nextReviewAt }",200 | 400 | 503,None (userId in query),"{ error: string }"
Content create lesson,content-service,POST,/api/v1/content/lessons,—,—,"{ name, description }",CreateLessonRequest; Lesson,"name: required (<=120); description: required (<=1000)","{ lesson }",201 | 400 | 500 | 503,None,"{ error: string }"
Content list lessons,content-service,GET,/api/v1/content/lessons,—,—,—,LessonSummary; LessonsResponse,—,"{ lessons }",200 | 500 | 503,None,"{ error: string }"
Content get lesson,content-service,GET,/api/v1/content/lessons/{lessonId},lessonId: uuid,—,—,LessonDetail; Vocabulary; PublicQuestion,lessonId: required,"{ lesson }",200 | 404 | 500 | 503,None,"{ error: string }"
Content add vocabularies,content-service,POST,/api/v1/content/lessons/{lessonId}/vocabularies,lessonId: uuid,—,"{ items: [{ word, meaning }] }",AddVocabulariesRequest; Vocabulary,"lessonId+items required; word/meaning required; 1–100 unique","{ vocabulary, count }",201 | 400 | 404 | 409 | 500 | 503,None,"{ error: string }"
Content list vocabularies,content-service,GET,/api/v1/content/lessons/{lessonId}/vocabularies,lessonId: uuid,—,—,VocabulariesResponse,lessonId: required,"{ vocabulary, count }",200 | 404 | 500 | 503,None,"{ error: string }"
Content create question,content-service,POST,/api/v1/content/lessons/{lessonId}/questions,lessonId: uuid,—,"{ prompt, options[4], correctOptionIndex, vocabularyId? }",CreateQuestionRequest; Question,"lessonId/prompt/options/correctOptionIndex: required; vocabularyId: optional","{ question }",201 | 400 | 404 | 500 | 503,None,"{ error: string }"
Content list questions,content-service,GET,/api/v1/content/lessons/{lessonId}/questions,lessonId: uuid,—,—,QuestionsResponse { PublicQuestion[] },lessonId: required,"{ questions, count }",200 | 404 | 500 | 503,None,"{ error: string }"
Content check answer,content-service,POST,/api/v1/content/questions/{questionId}/check,questionId: uuid,—,"{ selectedOptionIndex: int }",CheckAnswerRequest; CheckAnswerResponse,"questionId: required; selectedOptionIndex: required (0–3)","{ correct, masteryCandidateVocabularyId }",200 | 400 | 404 | 500 | 503,None,"{ error: string }"
Content update lesson,content-service,PATCH,/api/v1/content/lessons/{lessonId},lessonId: uuid,—,"{ name, description }",Lesson,"lessonId+name+description: required","{ lesson }",200 | 400 | 404 | 500 | 503,None,"{ error: string }"
Content delete lesson,content-service,DELETE,/api/v1/content/lessons/{lessonId},lessonId: uuid,—,—,—,lessonId: required,(empty),204 | 404 | 500 | 503,None,"{ error: string }"
Content list managed questions,content-service,GET,/api/v1/content/lessons/{lessonId}/questions/managed,lessonId: uuid,—,—,Question (with correctOptionIndex),lessonId: required,"{ questions, count }",200 | 404 | 500 | 503,None,"{ error: string }"
Content get managed question,content-service,GET,/api/v1/content/questions/{questionId},questionId: uuid,—,—,Question,questionId: required,"{ question }",200 | 404 | 500 | 503,None,"{ error: string }"
Content update question,content-service,PATCH,/api/v1/content/questions/{questionId},questionId: uuid,—,"{ prompt, options[4], correctOptionIndex, vocabularyId? }",Question,"questionId+prompt/options/correctOptionIndex: required","{ question }",200 | 400 | 404 | 500 | 503,None,"{ error: string }"
Content delete question,content-service,DELETE,/api/v1/content/questions/{questionId},questionId: uuid,—,—,—,questionId: required,(empty),204 | 404 | 500 | 503,None,"{ error: string }"
